idx,grapheme,grapheme_root,vowel_diacritic,consonant_diacritic
0,ং,0,0,0
1,ঃ,1,0,0
2,অ,2,0,0
3,অ্যা,2,1,4
4,আ,3,0,0
5,আঁ,3,0,1
6,ই,4,0,0
7,ইঁ,4,0,1
8,ঈ,5,0,0
9,উ,6,0,0
10,উঁ,6,0,1
11,ঊ,7,0,0
12,ঋ,8,0,0
13,এ,9,0,0
14,এঁ,9,0,1
15,এ্যা,9,1,4
16,ঐ,10,0,0
17,ও,11,0,0
18,ঔ,12,0,0
19,ক,13,0,0
20,কা,13,1,0
21,কাঁ,13,1,1
22,কি,13,2,0
23,কী,13,3,0
24,কু,13,4,0
25,কুঁ,13,4,1
26,কূ,13,5,0
27,কৃ,13,6,0
28,কে,13,7,0
29,কেঁ,13,7,1
30,কৈ,13,8,0
31,কো,13,9,0
32,কৌ,13,10,0
33,ক্ক,14,0,0
34,ক্কা,14,1,0
35,ক্কি,14,2,0
36,ক্কে,14,7,0
37,ক্কো,14,9,0
38,ক্ট,15,0,0
39,ক্টা,15,1,0
40,ক্টি,15,2,0
41,ক্টে,15,7,0
42,ক্টো,15,9,0
43,ক্ট্র,15,0,5
44,ক্ট্রো,15,9,5
45,ক্ত,16,0,0
46,ক্তা,16,1,0
47,ক্তি,16,2,0
48,ক্তৃ,16,6,0
49,ক্তে,16,7,0
50,ক্তো,16,9,0
51,ক্য,13,0,4
52,ক্যা,13,1,4
53,ক্যু,13,4,4
54,ক্যে,13,7,4
55,ক্র,13,0,5
56,ক্রা,13,1,5
57,ক্রি,13,2,5
58,ক্রী,13,3,5
59,ক্রু,13,4,5
60,ক্রূ,13,5,5
61,ক্রে,13,7,5
62,ক্রো,13,9,5
63,ক্র্যা,13,1,6
64,ক্ল,17,0,0
65,ক্লা,17,1,0
66,ক্লি,17,2,0
67,ক্লে,17,7,0
68,ক্লো,17,9,0
69,ক্ষ,18,0,0
70,ক্ষা,18,1,0
71,ক্ষি,18,2,0
72,ক্ষী,18,3,0
73,ক্ষু,18,4,0
74,ক্ষে,18,7,0
75,ক্ষো,18,9,0
76,ক্ষৌ,18,10,0
77,ক্ষ্ণ,19,0,0
78,ক্ষ্ণৌ,19,10,0
79,ক্ষ্ম,20,0,0
80,ক্ষ্মী,20,3,0
81,ক্ষ্য,18,0,4
82,ক্ষ্যা,18,1,4
83,ক্ষ্যে,18,7,4
84,ক্স,21,0,0
85,ক্সা,21,1,0
86,ক্সি,21,2,0
87,ক্সে,21,7,0
88,খ,22,0,0
89,খা,22,1,0
90,খাঁ,22,1,1
91,খি,22,2,0
92,খী,22,3,0
93,খু,22,4,0
94,খুঁ,22,4,1
95,খৃ,22,6,0
96,খে,22,7,0
97,খৈ,22,8,0
98,খো,22,9,0
99,খোঁ,22,9,1
100,খ্য,22,0,4
101,খ্যা,22,1,4
102,খ্রি,22,2,5
103,খ্রী,22,3,5
104,গ,23,0,0
105,গা,23,1,0
106,গাঁ,23,1,1
107,গি,23,2,0
108,গী,23,3,0
109,গু,23,4,0
110,গুঁ,23,4,1
111,গূ,23,5,0
112,গৃ,23,6,0
113,গে,23,7,0
114,গেঁ,23,7,1
115,গৈ,23,8,0
116,গো,23,9,0
117,গোঁ,23,9,1
118,গৌ,23,10,0
119,গ্ধ,24,0,0
120,গ্ধা,24,1,0
121,গ্ন,25,0,0
122,গ্না,25,1,0
123,গ্নি,25,2,0
124,গ্নী,25,3,0
125,গ্নে,25,7,0
126,গ্ন্যা,25,1,4
127,গ্ন্যু,25,4,4
128,গ্বে,26,7,0
129,গ্ম,27,0,0
130,গ্মি,27,2,0
131,গ্য,23,0,4
132,গ্যা,23,1,4
133,গ্যি,23,2,4
134,গ্যে,23,7,4
135,গ্র,23,0,5
136,গ্রা,23,1,5
137,গ্রি,23,2,5
138,গ্রী,23,3,5
139,গ্রু,23,4,5
140,গ্রে,23,7,5
141,গ্রো,23,9,5
142,গ্র্যা,23,1,6
143,গ্লা,28,1,0
144,গ্লি,28,2,0
145,গ্লু,28,4,0
146,গ্লো,28,9,0
147,গ্ল্যা,28,1,4
148,ঘ,29,0,0
149,ঘা,29,1,0
150,ঘাঁ,29,1,1
151,ঘি,29,2,0
152,ঘু,29,4,0
153,ঘূ,29,5,0
154,ঘৃ,29,6,0
155,ঘে,29,7,0
156,ঘেঁ,29,7,1
157,ঘো,29,9,0
158,ঘ্ন,30,0,0
159,ঘ্নি,30,2,0
160,ঘ্নে,30,7,0
161,ঘ্যা,29,1,4
162,ঘ্র,29,0,5
163,ঘ্রা,29,1,5
164,ঘ্রে,29,7,5
165,ঙ,31,0,0
166,ঙা,31,1,0
167,ঙি,31,2,0
168,ঙু,31,4,0
169,ঙে,31,7,0
170,ঙ্ক,32,0,0
171,ঙ্কা,32,1,0
172,ঙ্কি,32,2,0
173,ঙ্কী,32,3,0
174,ঙ্কু,32,4,0
175,ঙ্কৃ,32,6,0
176,ঙ্কে,32,7,0
177,ঙ্কো,32,9,0
178,ঙ্ক্তি,33,2,0
179,ঙ্ক্ষা,34,1,0
180,ঙ্ক্ষি,34,2,0
181,ঙ্খ,35,0,0
182,ঙ্খা,35,1,0
183,ঙ্খি,35,2,0
184,ঙ্গ,36,0,0
185,ঙ্গা,36,1,0
186,ঙ্গি,36,2,0
187,ঙ্গী,36,3,0
188,ঙ্গু,36,4,0
189,ঙ্গে,36,7,0
190,ঙ্গো,36,9,0
191,ঙ্ঘ,37,0,0
192,ঙ্ঘি,37,2,0
193,চ,38,0,0
194,চা,38,1,0
195,চাঁ,38,1,1
196,চি,38,2,0
197,চী,38,3,0
198,চু,38,4,0
199,চূ,38,5,0
200,চে,38,7,0
201,চেঁ,38,7,1
202,চৈ,38,8,0
203,চো,38,9,0
204,চৌ,38,10,0
205,চ্চ,39,0,0
206,চ্চা,39,1,0
207,চ্চি,39,2,0
208,চ্চু,39,4,0
209,চ্ছ,40,0,0
210,চ্ছা,40,1,0
211,চ্ছি,40,2,0
212,চ্ছু,40,4,0
213,চ্ছে,40,7,0
214,চ্ছ্ব,41,0,0
215,চ্ছ্বা,41,1,0
216,চ্য,38,0,4
217,চ্যা,38,1,4
218,চ্যু,38,4,4
219,চ্যূ,38,5,4
220,চ্যে,38,7,4
221,ছ,42,0,0
222,ছা,42,1,0
223,ছাঁ,42,1,1
224,ছি,42,2,0
225,ছিঁ,42,2,1
226,ছু,42,4,0
227,ছুঁ,42,4,1
228,ছে,42,7,0
229,ছো,42,9,0
230,ছোঁ,42,9,1
231,ছ্যা,42,1,4
232,জ,43,0,0
233,জা,43,1,0
234,জি,43,2,0
235,জী,43,3,0
236,জু,43,4,0
237,জে,43,7,0
238,জৈ,43,8,0
239,জো,43,9,0
240,জ্জ,44,0,0
241,জ্জা,44,1,0
242,জ্জি,44,2,0
243,জ্জী,44,3,0
244,জ্জু,44,4,0
245,জ্জে,44,7,0
246,জ্জো,44,9,0
247,জ্জ্ব,45,0,0
248,জ্ঞ,46,0,0
249,জ্ঞা,46,1,0
250,জ্ঞী,46,3,0
251,জ্ঞে,46,7,0
252,জ্ব,47,0,0
253,জ্বা,47,1,0
254,জ্বি,47,2,0
255,জ্য,43,0,4
256,জ্যা,43,1,4
257,জ্যি,43,2,4
258,জ্যু,43,4,4
259,জ্যে,43,7,4
260,জ্যৈ,43,8,4
261,জ্যো,43,9,4
262,জ্র,43,0,5
263,ঝ,48,0,0
264,ঝা,48,1,0
265,ঝাঁ,48,1,1
266,ঝি,48,2,0
267,ঝু,48,4,0
268,ঝুঁ,48,4,1
269,ঝে,48,7,0
270,ঝো,48,9,0
271,ঞ,49,0,0
272,ঞা,49,1,0
273,ঞ্চ,50,0,0
274,ঞ্চা,50,1,0
275,ঞ্চি,50,2,0
276,ঞ্চু,50,4,0
277,ঞ্চে,50,7,0
278,ঞ্ছ,51,0,0
279,ঞ্ছি,51,2,0
280,ঞ্জ,52,0,0
281,ঞ্জা,52,1,0
282,ঞ্জি,52,2,0
283,ঞ্জী,52,3,0
284,ঞ্জু,52,4,0
285,ঞ্জে,52,7,0
286,ট,53,0,0
287,টা,53,1,0
288,টি,53,2,0
289,টী,53,3,0
290,টু,53,4,0
291,টূ,53,5,0
292,টে,53,7,0
293,টো,53,9,0
294,ট্ট,54,0,0
295,ট্টা,54,1,0
296,ট্টি,54,2,0
297,ট্টো,54,9,0
298,ট্য,53,0,4
299,ট্যা,53,1,4
300,ট্যু,53,4,4
301,ট্যে,53,7,4
302,ট্র,53,0,5
303,ট্রা,53,1,5
304,ট্রি,53,2,5
305,ট্রু,53,4,5
306,ট্রে,53,7,5
307,ট্রো,53,9,5
308,ট্র্যা,53,1,6
309,ঠ,55,0,0
310,ঠা,55,1,0
311,ঠাঁ,55,1,1
312,ঠি,55,2,0
313,ঠী,55,3,0
314,ঠু,55,4,0
315,ঠে,55,7,0
316,ঠো,55,9,0
317,ঠোঁ,55,9,1
318,ঠ্য,55,0,4
319,ঠ্যা,55,1,4
320,ড,56,0,0
321,ডা,56,1,0
322,ডি,56,2,0
323,ডী,56,3,0
324,ডু,56,4,0
325,ডে,56,7,0
326,ডো,56,9,0
327,ড্ড,57,0,0
328,ড্ডা,57,1,0
329,ড্ডি,57,2,0
330,ড্ডী,57,3,0
331,ড্যা,56,1,4
332,ড্র,56,0,5
333,ড্রা,56,1,5
334,ড্রি,56,2,5
335,ড্রে,56,7,5
336,ড্রো,56,9,5
337,ঢ,58,0,0
338,ঢা,58,1,0
339,ঢি,58,2,0
340,ঢু,58,4,0
341,ঢে,58,7,0
342,ঢো,58,9,0
343,ঢৌ,58,10,0
344,ঢ্য,58,0,4
345,ণ,59,0,0
346,ণা,59,1,0
347,ণি,59,2,0
348,ণী,59,3,0
349,ণু,59,4,0
350,ণে,59,7,0
351,ণো,59,9,0
352,ণ্ট,60,0,0
353,ণ্টা,60,1,0
354,ণ্টু,60,4,0
355,ণ্ঠ,61,0,0
356,ণ্ঠা,61,1,0
357,ণ্ঠি,61,2,0
358,ণ্ঠে,61,7,0
359,ণ্ড,62,0,0
360,ণ্ডা,62,1,0
361,ণ্ডি,62,2,0
362,ণ্ডী,62,3,0
363,ণ্ডু,62,4,0
364,ণ্ডে,62,7,0
365,ণ্ণ,63,0,0
366,ণ্য,59,0,4
367,ণ্যা,59,1,4
368,ণ্যে,59,7,4
369,ত,64,0,0
370,তা,64,1,0
371,তাঁ,64,1,1
372,তি,64,2,0
373,তী,64,3,0
374,তু,64,4,0
375,তূ,64,5,0
376,তৃ,64,6,0
377,তে,64,7,0
378,তেঁ,64,7,1
379,তৈ,64,8,0
380,তো,64,9,0
381,তৌ,64,10,0
382,ত্ত,65,0,0
383,ত্তা,65,1,0
384,ত্তি,65,2,0
385,ত্তী,65,3,0
386,ত্তে,65,7,0
387,ত্তো,65,9,0
388,ত্ত্ব,66,0,0
389,ত্ত্বা,66,1,0
390,ত্ত্বি,66,2,0
